http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5200    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/uturtle.py:173(setLineWidth)
     4280    0.009    0.000    0.169    0.000 /home/pdf/workspace/OLPC/udrawingsurface.py:139(drawLineFromTo)
     1300    0.008    0.000    0.017    0.000 /home/pdf/workspace/OLPC/uintern.py:25(__init__)
    11500    0.007    0.000    0.007    0.000 /home/pdf/workspace/OLPC/umath.py:47(min)
     1300    0.007    0.000    0.009    0.000 /home/pdf/workspace/OLPC/upart.py:41(__init__)
     6480    0.007    0.000    0.007    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:466(drawLinesColor)
     2200    0.007    0.000    0.009    0.000 /home/pdf/workspace/OLPC/uleaf.py:60(nextDay)
      700    0.006    0.000    0.011    0.000 /home/pdf/workspace/OLPC/usupport.py:688(darkerColor)
     4980    0.006    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uturtle.py:194(exportingToFile)
      220    0.006    0.000    0.813    0.004 /home/pdf/workspace/OLPC/uleaf.py:305(DrawLeafOrLeaflet)
     5712    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/upart.py:200(isPhytomer)
     1200    0.005    0.000    0.008    0.000 /home/pdf/workspace/OLPC/utravers.py:96(linearGrowthWithFactor)
     1716    0.005    0.000    0.020    0.000 /home/pdf/workspace/OLPC/upart.py:549(longNameForDXFPartConsideringGenderEtc)
     2946    0.005    0.000    0.032    0.000 /home/pdf/workspace/OLPC/uturtle.py:496(rotateX)
     6480    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:452(visibleSurfaceColor)
     1900    0.005    0.000    0.006    0.000 /home/pdf/workspace/OLPC/umerist.py:75(nextDay)
     7424    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/umath.py:54(max)
      160    0.004    0.000    0.973    0.006 /home/pdf/workspace/OLPC/uinflor.py:441(drawFlower)
     1716    0.004    0.000    0.017    0.000 /home/pdf/workspace/OLPC/upart.py:554(shortNameForDXFPartConsideringGenderEtc)
        2    0.004    0.002    0.004    0.002 /home/pdf/workspace/OLPC/udrawingsurface.py:56(clearTriangles)
     2506    0.004    0.000    0.004    0.000 /home/pdf/workspace/OLPC/uturtle.py:485(pop)
     2700    0.004    0.000    0.004    0.000 /home/pdf/workspace/OLPC/delphi_compatability.py:36(__init__)
      160    0.004    0.000    0.848    0.005 /home/pdf/workspace/OLPC/ufruit.py:279(draw)
      784    0.004    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uinflor.py:521(lengthOrWidthAtAgeForFraction)
     4280    0.004    0.000    0.004    0.000 /home/pdf/workspace/OLPC/uturtle.py:285(millimetersToPixels)
      224    0.003    0.000    0.132    0.001 /home/pdf/workspace/OLPC/uinflor.py:503(drawInternode)
     3488    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/upart.py:179(totalBiomass_pctMPB)
     2782    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/ucollect.py:100(__iter__)
     2100    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/umath.py:68(intMax)
     1716    0.003    0.000    0.009    0.000 /home/pdf/workspace/OLPC/u3dexport.py:192(longNameForDXFPartType)
      100    0.003    0.000    0.005    0.000 /home/pdf/workspace/OLPC/uintern.py:306(distanceFromApicalMeristem)
      572    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uleaf.py:403(compoundLeafAngleWithSway)
      100    0.003    0.000    0.783    0.008 /home/pdf/workspace/OLPC/uplant.py:2115(nextDay)
     1716    0.003    0.000    0.008    0.000 /home/pdf/workspace/OLPC/u3dexport.py:201(shortNameForDXFPartType)
      700    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uturtle.py:334(clearRecording)
      960    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/ufruit.py:251(dxfIndexForFloralLayerType)
      900    0.003    0.000    0.005    0.000 /home/pdf/workspace/OLPC/umath.py:262(scurve)
     3284    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uintern.py:279(isPhytomer)
     3220    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/ucollect.py:88(__len__)
      960    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/conversion_common.py:87(trunc)
       44    0.002    0.000    1.043    0.024 /home/pdf/workspace/OLPC/uleaf.py:342(drawCompoundLeafPinnate)
      176    0.002    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uleaf.py:376(bendAngleForCompoundLeaf)
      416    0.002    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uinflor.py:240(allFlowersHaveBeenDrawn)
     40/8    0.002    0.000    1.112    0.139 /home/pdf/workspace/OLPC/uinflor.py:307(drawApex)
       48    0.002    0.000    1.070    0.022 /home/pdf/workspace/OLPC/uleaf.py:212(drawWithDirection)
     1200    0.002    0.000    0.007    0.000 /home/pdf/workspace/OLPC/uintern.py:456(checkIfSeedlingLeavesHaveAbscissed)
      236    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/upart.py:389(hiddenByAmendment)
      244    0.002    0.000    0.024    0.000 /home/pdf/workspace/OLPC/utravers.py:187(beginTraversal)
      176    0.002    0.000    0.102    0.001 /home/pdf/workspace/OLPC/uleaf.py:365(drawCompoundLeafInternode)
      900    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/umath.py:187(safeExp)
      220    0.002    0.000    0.124    0.001 /home/pdf/workspace/OLPC/uleaf.py:389(DrawCompoundLeafPetioletCount)
     2568    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/upart.py:465(rotateAngleConsideringAmendment)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:276(ifExporting_start3DObject)
      100    0.001    0.000    0.377    0.004 /home/pdf/workspace/OLPC/uplant.py:2172(allocateOrRemoveBiomassWithTraverser)
      856    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/upart.py:489(lengthMultiplierConsideringAmendments)
     1558    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:170(setLineColor)
      856    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/upart.py:502(widthMultiplierConsideringAmendments)
      102    0.001    0.000    0.002    0.000 /home/pdf/workspace/OLPC/utravers.py:159(__init__)
      700    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/upart.py:476(scaleMultiplierConsideringAmendments)
      856    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:246(ifExporting_excludeStem)
