http://www.onlamp.com/pub/a/python/2005/12/15/profiling.html?page=1

from hotshot import stats

s = stats.load("hotshot_stats")


>>> s.sort_stats("time").print_stats()
         602650 function calls (602618 primitive calls) in 2.997 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1106    0.024    0.000    5.115    0.005 /home/pdf/workspace/OLPC/ufruit.py:279(draw)
    26030    0.024    0.000    0.024    0.000 /home/pdf/workspace/OLPC/uturtle.py:194(exportingToFile)
    14303    0.024    0.000    0.058    0.000 /home/pdf/workspace/OLPC/u3dexport.py:201(shortNameForDXFPartType)
     4493    0.024    0.000    0.029    0.000 /home/pdf/workspace/OLPC/upart.py:41(__init__)
     2829    0.023    0.000    0.023    0.000 /home/pdf/workspace/OLPC/upart.py:389(hiddenByAmendment)
     1193    0.023    0.000    6.177    0.005 /home/pdf/workspace/OLPC/uinflor.py:118(traverseActivity)
      730    0.023    0.000    4.511    0.006 /home/pdf/workspace/OLPC/uleaf.py:212(drawWithDirection)
       63    0.020    0.000   13.781    0.219 /home/pdf/workspace/OLPC/viewer.py:74(testPlant)
     3752    0.019    0.000    0.019    0.000 /home/pdf/workspace/OLPC/uleaf.py:403(compoundLeafAngleWithSway)
     4162    0.018    0.000    0.029    0.000 /home/pdf/workspace/OLPC/utravers.py:109(linearGrowthResult)
    25130    0.017    0.000    0.017    0.000 /home/pdf/workspace/OLPC/umath.py:47(min)
      634    0.017    0.000    0.253    0.000 /home/pdf/workspace/OLPC/uintern.py:400(drawInternode)
    14098    0.016    0.000    0.016    0.000 /home/pdf/workspace/OLPC/ucollect.py:100(__iter__)
    19091    0.015    0.000    0.015    0.000 /home/pdf/workspace/OLPC/upart.py:69(nextDay)
     3274    0.015    0.000    0.021    0.000 /home/pdf/workspace/OLPC/uinflor.py:521(lengthOrWidthAtAgeForFraction)
    23097    0.015    0.000    0.015    0.000 /home/pdf/workspace/OLPC/umath.py:68(intMax)
    18331    0.015    0.000    0.015    0.000 /home/pdf/workspace/OLPC/uturtle.py:285(millimetersToPixels)
      272    0.014    0.000    3.464    0.013 /home/pdf/workspace/OLPC/uleaf.py:342(drawCompoundLeafPinnate)
     1160    0.013    0.000    0.017    0.000 /home/pdf/workspace/OLPC/uleaf.py:376(bendAngleForCompoundLeaf)
    21240    0.013    0.000    0.013    0.000 /home/pdf/workspace/OLPC/umath.py:54(max)
    13261    0.013    0.000    0.013    0.000 /home/pdf/workspace/OLPC/uturtle.py:170(setLineColor)
      634    0.013    0.000    4.805    0.008 /home/pdf/workspace/OLPC/uintern.py:369(draw)
     7699    0.012    0.000    0.012    0.000 /home/pdf/workspace/OLPC/upart.py:476(scaleMultiplierConsideringAmendments)
     3782    0.012    0.000    0.049    0.000 /home/pdf/workspace/OLPC/umerist.py:75(nextDay)
     1608    0.012    0.000    0.015    0.000 /home/pdf/workspace/OLPC/uinflor.py:240(allFlowersHaveBeenDrawn)
    16497    0.012    0.000    0.012    0.000 /home/pdf/workspace/OLPC/upart.py:465(rotateAngleConsideringAmendment)
     3838    0.012    0.000    0.016    0.000 /home/pdf/workspace/OLPC/uleaf.py:60(nextDay)
     2736    0.011    0.000    0.017    0.000 /home/pdf/workspace/OLPC/utravers.py:96(linearGrowthWithFactor)
     1160    0.011    0.000    0.478    0.000 /home/pdf/workspace/OLPC/uleaf.py:365(drawCompoundLeafInternode)
     1432    0.011    0.000    0.555    0.000 /home/pdf/workspace/OLPC/uleaf.py:389(DrawCompoundLeafPetioletCount)
    13814    0.010    0.000    0.010    0.000 /home/pdf/workspace/OLPC/ucollect.py:88(__len__)
      634    0.010    0.000    0.015    0.000 /home/pdf/workspace/OLPC/uintern.py:99(determineAmendmentAndAlsoForChildrenIfAny)
      387    0.010    0.000    1.301    0.003 /home/pdf/workspace/OLPC/uplant.py:2115(nextDay)
     7699    0.010    0.000    0.010    0.000 /home/pdf/workspace/OLPC/uturtle.py:280(ifExporting_end3DObject)
     7699    0.010    0.000    0.010    0.000 /home/pdf/workspace/OLPC/uturtle.py:252(ifExporting_exclude3DObject)
     7699    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/uturtle.py:166(setForeColorBackColor)
     1614    0.009    0.000    0.017    0.000 /home/pdf/workspace/OLPC/urandom.py:79(zeroToOne)
       35    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/ucursor.py:34(cursor_startWait)
     7699    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/usupport.py:516(support_rgb)
     5499    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/upart.py:502(widthMultiplierConsideringAmendments)
     5499    0.009    0.000    0.009    0.000 /home/pdf/workspace/OLPC/upart.py:489(lengthMultiplierConsideringAmendments)
    12032    0.008    0.000    0.008    0.000 /home/pdf/workspace/OLPC/uintern.py:279(isPhytomer)
     3060    0.008    0.000    0.012    0.000 /home/pdf/workspace/OLPC/uplant.py:2266(amendmentForPartID)
      246    0.008    0.000    0.013    0.000 /home/pdf/workspace/OLPC/uintern.py:306(distanceFromApicalMeristem)
     1139    0.008    0.000    0.215    0.000 /home/pdf/workspace/OLPC/utravers.py:187(beginTraversal)
     7699    0.008    0.000    0.008    0.000 /home/pdf/workspace/OLPC/uturtle.py:276(ifExporting_start3DObject)
    12175    0.008    0.000    0.008    0.000 /home/pdf/workspace/OLPC/upart.py:200(isPhytomer)
       35    0.008    0.000    0.008    0.000 /home/pdf/workspace/OLPC/ucursor.py:47(cursor_stopWait)
      462    0.008    0.000    0.031    0.000 /home/pdf/workspace/OLPC/uinflor.py:88(nextDay)
     3060    0.007    0.000    0.019    0.000 /home/pdf/workspace/OLPC/upart.py:386(determineAmendmentAndAlsoForChildrenIfAny)
     5499    0.007    0.000    0.007    0.000 /home/pdf/workspace/OLPC/uturtle.py:262(ifExporting_endStemSegment)
      445    0.007    0.000    0.232    0.001 /home/pdf/workspace/OLPC/uinflor.py:503(drawInternode)
     5499    0.006    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uturtle.py:246(ifExporting_excludeStem)
       25    0.006    0.000    4.052    0.162 /home/pdf/workspace/OLPC/uinflor.py:471(drawHead)
     1796    0.006    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uleaf.py:264(wiltLeaf)
     5499    0.006    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uturtle.py:258(ifExporting_startStemSegment)
     4025    0.006    0.000    0.019    0.000 /home/pdf/workspace/OLPC/uintern.py:456(checkIfSeedlingLeavesHaveAbscissed)
     7699    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/usupport.py:668(GetGValue)
     7699    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/usupport.py:671(GetBValue)
      450    0.005    0.000    0.008    0.000 /home/pdf/workspace/OLPC/utravers.py:159(__init__)
      387    0.005    0.000    0.590    0.002 /home/pdf/workspace/OLPC/uplant.py:2172(allocateOrRemoveBiomassWithTraverser)
     7699    0.005    0.000    0.005    0.000 /home/pdf/workspace/OLPC/usupport.py:665(GetRValue)
     1562    0.005    0.000    0.009    0.000 /home/pdf/workspace/OLPC/umath.py:262(scurve)
     1062    0.004    0.000    0.009    0.000 /home/pdf/workspace/OLPC/umerist.py:120(optimalInitialPhytomerBiomass_pctMPB)
     2923    0.004    0.000    0.004    0.000 /home/pdf/workspace/OLPC/conversion_common.py:249(__init__)
    84/46    0.004    0.000    1.870    0.041 /home/pdf/workspace/OLPC/uinflor.py:307(drawApex)
     1626    0.004    0.000    0.006    0.000 /home/pdf/workspace/OLPC/uintern.py:158(optimalInitialBiomass_pctMPB)
       35    0.004    0.000    1.327    0.038 /home/pdf/workspace/OLPC/viewer.py:185(_grow)
     1056    0.004    0.000    0.032    0.000 /home/pdf/workspace/OLPC/umerist.py:126(accumulateOrCreatePhytomer)
     2388    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/upart.py:215(genderString)
     1139    0.003    0.000   14.885    0.013 /home/pdf/workspace/OLPC/utravers.py:200(traverseWholePlant)
     3430    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/upart.py:179(totalBiomass_pctMPB)
     1562    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/umath.py:187(safeExp)
     2102    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uturtle.py:234(ifExporting_endNestedGroupOfPlantParts)
       71    0.003    0.000    5.962    0.084 /home/pdf/workspace/OLPC/uinflor.py:267(draw)
      634    0.003    0.000    0.005    0.000 /home/pdf/workspace/OLPC/uintern.py:164(propFullLength)
      450    0.003    0.000    0.003    0.000 /home/pdf/workspace/OLPC/utravers.py:139(__init__)
      384    0.003    0.000    0.584    0.002 /home/pdf/workspace/OLPC/uplant.py:2211(allocateOrRemoveParticularBiomass)
       63    0.002    0.000   13.619    0.216 /home/pdf/workspace/OLPC/uplant.py:534(draw)
     2102    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uturtle.py:230(ifExporting_startNestedGroupOfPlantParts)
      634    0.002    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uintern.py:168(propFullWidth)
     3838    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uleaf.py:152(checkIfHasAbscissed)
     1629    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uleaf.py:51(optimalInitialBiomass_pctMPB)
       45    0.002    0.000    0.013    0.000 /home/pdf/workspace/OLPC/uleaf.py:35(initializeFractionOfOptimalSize)
     1472    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uturtle.py:238(ifExporting_startPlantPart)
       71    0.002    0.000    0.034    0.000 /home/pdf/workspace/OLPC/uinflor.py:401(drawPeduncle)
      865    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/upart.py:546(calculateColors)
     1562    0.002    0.000    0.002    0.000 /home/pdf/workspace/OLPC/umath.py:216(safediv)
       63    0.002    0.000    0.139    0.002 /home/pdf/workspace/OLPC/uturtle.py:123(reset)
     1472    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uturtle.py:242(ifExporting_endPlantPart)
     1488    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/upart.py:408(applyAmendmentRotations)
       71    0.001    0.000    0.002    0.000 /home/pdf/workspace/OLPC/uinflor.py:42(determineAmendmentAndAlsoForChildrenIfAny)
      998    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umerist.py:92(contemplateBranching)
      222    0.001    0.000    0.003    0.000 /home/pdf/workspace/OLPC/upart.py:58(initialize)
     1160    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/conversion_common.py:81(odd)
       35    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/gtk_helpers.py:56(InvalidateWidget)
     1106    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/ucollect.py:91(__getitem__)
       42    0.001    0.000    0.021    0.000 /home/pdf/workspace/OLPC/umerist.py:453(createPhytomer)
      774    0.001    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uplant.py:322(cancelOutOppositeAmounts)
      391    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uintern.py:289(setColorsToParameters)
       85    0.000    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uinflor.py:254(createFlower)
       71    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uinflor.py:296(shouldDraw)
       42    0.000    0.000    0.018    0.000 /home/pdf/workspace/OLPC/uintern.py:49(InitializeFractionOfInitialOptimalSize)
       40    0.000    0.000    0.689    0.017 /home/pdf/workspace/OLPC/uinflor.py:426(drawAxillaryBud)
        3    0.000    0.000    0.021    0.007 /home/pdf/workspace/OLPC/uintern.py:418(drawRootTop)
       71    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:354(drawBracts)
       21    0.000    0.000    0.003    0.000 /home/pdf/workspace/OLPC/urandom.py:53(randomNormal)
       63    0.000    0.000    0.137    0.002 /home/pdf/workspace/OLPC/udrawingsurface.py:42(initialize)
       56    0.000    0.000    0.002    0.000 /home/pdf/workspace/OLPC/umerist.py:556(startReproduction)
       45    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uleaf.py:24(__init__)
      450    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/utravers.py:183(createWithPlant)
       85    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/ufruit.py:32(__init__)
       63    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/u3dsupport.py:181(initializeAsUnitMatrix)
       85    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/ufruit.py:40(initializeGender)
       40    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umerist.py:341(createAxillaryMeristem)
       39    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umerist.py:151(accumulateOrCreateInflorescence)
       63    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:161(xyz)
       45    0.000    0.000    0.003    0.000 /home/pdf/workspace/OLPC/uintern.py:293(calculateInternodeAngle)
      474    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/upart.py:211(setColorsToParameters)
       43    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umerist.py:55(InitializeWithPlant)
       34    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/umerist.py:607(willCreateInflorescence)
       43    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:25(__init__)
       45    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umath.py:17(__init__)
       85    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/ucollect.py:26(Add)
       21    0.000    0.000    0.003    0.000 /home/pdf/workspace/OLPC/urandom.py:66(randomNormalPercent)
       72    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:354(setIfActive)
        7    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:435(createInflorescence)
        7    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:52(initializeGenderApicalOrAxillary)
       45    0.000    0.000    0.013    0.000 /home/pdf/workspace/OLPC/uleaf.py:31(NewWithPlantFractionOfOptimalSize)
       55    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:376(setIfApical)
       39    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:80(optimalInitialBiomass_pctMPB)
       63    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uturtle.py:178(setScale_pixelsPerMm)
        3    0.000    0.000    0.005    0.002 /home/pdf/workspace/OLPC/uplant.py:445(freeAllDrawingPlantParts)
       42    0.000    0.000    0.018    0.000 /home/pdf/workspace/OLPC/uintern.py:44(NewWithPlantFractionOfInitialOptimalSize)
       34    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:398(setIfReproductive)
        3    0.000    0.000    0.005    0.002 /home/pdf/workspace/OLPC/uplant.py:499(reset)
       34    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:587(decideIfActiveHermaphroditic)
        7    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uinflor.py:25(__init__)
        3    0.000    0.000    0.001    0.000 /home/pdf/workspace/OLPC/uintern.py:70(makeSecondSeedlingLeaf)
        3    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/uintern.py:91(setAsFirstPhytomer)
        3    0.000    0.000    0.002    0.001 /home/pdf/workspace/OLPC/umerist.py:417(createFirstPhytomer)
        7    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/ucollect.py:18(__init__)
        3    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/urandom.py:24(setSeedFromSmallint)
        3    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umerist.py:34(newWithPlant)
        3    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/conversion_common.py:24(makesmallint)
        2    0.000    0.000    0.000    0.000 /home/pdf/workspace/OLPC/umath.py:61(intMin)
        0    0.000             0.000          profile:0(profiler)


<pstats.Stats instance at 0xf7aa7fcc>
>>>
